CODI_OPENDATA ,CODI_IDENTIFICACIO_ESTACIO,CODI_IDENTIFICACIO_EQUIP,NUMERO_DE_SERVEI,CODI_DEL_CONNECTOR,TIPO_CONNECTOR,POTENCIA_MAXIMA_DE_CARGA_(W),NUM_SERVEIS_DEL_EQUIP,NUM_DE_CONNECTORS_AL_EQUIP,TIPOLOGIA_DE_CARREGA,LATITUD,LONGITUD,DIRECCIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,CODI_POSTAL,CODI_ASIA,TIPUS_DE_ACCES,OPERADOR,TELF,TARIFA ,CONTROL_DE_ACCES,RESTRICCIO_DE_US
10901013,109,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.404781,2.174774,"Provença, 447 - Marina",2,Eixample,6,La Sagrada Família,08025,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
11001011,110,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.388423,2.169394,"Passeig de Gràcia, 5",2,Eixample,7,La Dreta de l'Eixample,08007,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eTAXI
11001012,110,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.388423,2.169394,"Passeig de Gràcia, 5",2,Eixample,7,La Dreta de l'Eixample,08007,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eTAXI
11001013,110,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.388423,2.169394,"Passeig de Gràcia, 5",2,Eixample,7,La Dreta de l'Eixample,08007,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eTAXI
11101011,111,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.374819,2.171166,"Avinguda del Paral·lel, 55 / Nou de Rambla",3,Sants-Montjuic,11,Poble sec,08004,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
11101012,111,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.374819,2.171166,"Avinguda del Paral·lel, 55 / Nou de Rambla",3,Sants-Montjuic,11,Poble sec,08004,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
11101013,111,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.374819,2.171166,"Avinguda del Paral·lel, 55 / Nou de Rambla",3,Sants-Montjuic,11,Poble sec,08004,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
11102021,111,02,02,1,SCHUKO,3600,2,2,LENTA,41.374897,2.171151,"Avinguda del Paral·lel, 55 ",3,Sants-Montjuic,11,Poble sec,08004,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
11102011,111,02,01,1,SCHUKO,3600,2,2,LENTA,41.374897,2.171151,"Avinguda del Paral·lel, 55",3,Sants-Montjuic,11,Poble sec,08004,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
11201011,112,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.393732,2.149179,"Av. Diagonal, 447 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
